2,Lhasa Apso
2,Little Lion Dog
2,Long-Haired Pyrenean Sheepdog
2,Majorca Mastiff
2,Majorca Shepherd Dog
2,Maltese
2,Manchester Terrier
2,Maremma And The Abruzzes Sheepdog
2,Mastiff
2,Medium-Sized Anglo-French Hound
2,Miniature American Shepherd
2,Miniature Bull Terrier
2,Miniature Pinscher
2,Miniature Schnauzer
2,Montenegrin Mountain Hound
2,Mudi
2,Neapolitan Mastiff
2,Nederlandse Kooikerhondje
2,Newfoundland
2,Norfolk Terrier
2,Norman Artesien Basset
2,Norrbottenspitz
2,Norwegian Buhund
2,Norwegian Elkhound Black
2,Norwegian Elkhound Grey
2,Norwegian Hound
2,Norwegian Lundehund
2,Norwich Terrier
2,Nova Scotia Duck Tolling Retriever
2,Old Danish Pointing Dog
2,Old English Sheepdog
2,Otterhound
2,Parson Russell Terrier
2,Pekingese
2,Peruvian Hairless Dog
2,Petit Basset Griffon Vendeen
2,Petit Brabancon (Brabanter Griffon)
2,Pharaoh Hound
2,Picardy Sheepdog
2,Picardy Spaniel
2,Poitevin
2,Polish Greyhound
2,Polish Hound
2,Polish Hunting Dog
2,Polish Lowland Sheepdog
2,Pont-Audemer Spaniel
2,Poodle
2,Porcelaine
2,Portuguese Pointing Dog
2,Portuguese Sheepdog
2,Portuguese Warren Hound-Portuguese Podengo
2,Portuguese Water Dog
2,Posavatz Hound
2,Prague Ratter
2,Presa Canario
2,Pudelpointer
2,Pug
2,Puli
2,Pumi
2,Pyrenean Mastiff
2,Pyrenean Mountain Dog
2,Pyrenean Sheepdog - Smooth Faced
2,Rafeiro Of Alentejo
2,Rhodesian Ridgeback
2,Romagna Water Dog
2,Romanian Bucovina Shepherd
2,Romanian Carpathian Shepherd Dog
2,Romanian Mioritic Shepherd Dog
2,Rottweiler
2,Russian Black Terrier
2,Russian Toy
2,Russian-European Laika
2,Saarloos Wolfhond
2,Saint Germain Pointer
2,Saint Miguel Cattle Dog
2,Saluki
2,Samoyed
2,Schillerstovare (Schiller Hound)
2,Schipperke
2,Schnauzer
2,Scottish Terrier
2,Sealyham Terrier
2,Segugio Maremmano
2,Serbian Hound
2,Serbian Tricolour Hound
2,Shar Pei
2,Shetland Sheepdog
2,Shiba
2,Shih Tzu
2,Shikoku
2,Siberian Husky
2,Skye Terrier
2,Sloughi
2,Slovakian Chuvach
2,Slovakian Hound
2,Smalandsstovare (Smaland Hound)
2,Small Blue Gascony
2,Small Swiss Hound
2,South Russian Shepherd Dog
2,Spanish Greyhound
2,Spanish Hound
2,Spanish Mastiff
2,Spanish Water Dog
2,St. Bernard
2,Stabijhoun
2,Staffordshire Bull Terrier
2,Sussex Spaniel
2,Swedish Lapphund
2,Swedish Vallhund
2,Swiss Hound
2,Taiwan Dog
2,Tatra Shepherd Dog
2,Thai Bangkaew Dog
2,Thai Ridgeback Dog
2,Tibetan Mastiff
2,Tibetan Spaniel
2,Tibetan Terrier
2,Tosa
2,Transmontano Mastiff
2,Tyrolean Hound
2,Valencian Terrier
2,Weimaraner
2,Welsh Corgi (Cardigan)
2,Welsh Corgi (Pembroke)
2,Welsh Springer Spaniel
2,Welsh Terrier
2,West Highland White Terrier
2,West Siberian Laika
2,Westphalian Dachsbracke
2,Whippet
2,White Swiss Shepherd Dog
2,Wire-Haired Pointing Griffon Korthals
2,Wirehaired Slovakian Pointer
2,Xoloitzcuintle
2,Yakutian Laika
2,Yorkshire Terrier
2,Yugoslavian Shepherd Dog (Sharplanina/ Sarplaninac)
